inci_no,descript,alm_date,alm_time,station,clr_date,clr_time,alarms,LastUpdateDate,StartDate,EndDate,Elapsed Time (Days),Elapsed Time (Hours),Elapsed Time (Minutes),Elapsed Time (Seconds)
19-0003964,Passenger vehicle fire,1/30/2019,20:36:16,21,1/30/2019,20:45:56,1,05/12/2020 10:51:51,01/30/2019 20:36:16,01/30/2019 20:45:56,0.007,0.161,9.667,580.000
19-0003965,Building fire,1/30/2019,20:53:10,17,1/30/2019,22:37:35,1,05/12/2020 10:51:51,01/30/2019 20:53:10,01/30/2019 22:37:35,0.073,1.740,104.417,6265.000
19-0004006,"Trash or rubbish fire, contained",1/31/2019,5:24:20,11,1/31/2019,5:36:46,1,05/12/2020 10:51:51,01/31/2019 5:24:20,01/31/2019 5:36:46,0.009,0.207,12.433,746.000
19-0004019,"Excessive heat, scorch burns with no ignition",1/31/2019,7:36:15,14,1/31/2019,7:58:04,1,05/12/2020 10:51:51,01/31/2019 7:36:15,01/31/2019 7:58:04,0.015,0.364,21.817,1309.000
19-0004033,Building fire,1/31/2019,8:34:47,17,1/31/2019,9:13:42,1,05/12/2020 10:51:51,01/31/2019 8:34:47,01/31/2019 9:13:42,0.027,0.649,38.917,2335.000
19-0004124,Passenger vehicle fire,1/31/2019,19:22:11,11,1/31/2019,19:30:08,1,05/12/2020 10:51:51,01/31/2019 19:22:11,01/31/2019 19:30:08,0.006,0.133,7.950,477.000
19-0004132,Passenger vehicle fire,1/31/2019,19:53:24,20,1/31/2019,20:29:52,1,05/12/2020 10:51:51,01/31/2019 19:53:24,01/31/2019 20:29:52,0.025,0.608,36.467,2188.000
19-0004250,Passenger vehicle fire,2/1/2019,11:29:34,1,2/1/2019,12:17:52,1,05/12/2020 10:51:51,02/01/2019 11:29:34,02/01/2019 12:17:52,0.034,0.805,48.300,2898.000
19-0004287,"Cooking fire, confined to container",2/1/2019,13:30:33,1,2/1/2019,13:51:57,1,05/12/2020 10:51:51,02/01/2019 13:30:33,02/01/2019 13:51:57,0.015,0.357,21.400,1284.000
19-0004291,Building fire,2/1/2019,14:09:05,6,2/1/2019,15:22:23,1,05/12/2020 10:51:51,02/01/2019 14:09:05,02/01/2019 15:22:23,0.051,1.222,73.300,4398.000
19-0004446,Dumpster or other outside trash receptacle fire,2/2/2019,4:17:49,6,2/2/2019,4:47:22,1,05/12/2020 10:51:51,02/02/2019 4:17:49,02/02/2019 4:47:22,0.021,0.493,29.550,1773.000
19-0004484,Dumpster or other outside trash receptacle fire,2/2/2019,9:32:39,17,2/2/2019,9:40:33,1,05/12/2020 10:51:51,02/02/2019 9:32:39,02/02/2019 9:40:33,0.005,0.132,7.900,474.000
19-0004499,"Excessive heat, scorch burns with no ignition",2/2/2019,11:06:24,15,2/2/2019,11:32:39,1,05/12/2020 10:51:51,02/02/2019 11:06:24,02/02/2019 11:32:39,0.018,0.437,26.250,1575.000
19-0004548,Passenger vehicle fire,2/2/2019,15:05:43,6,2/2/2019,15:20:58,1,05/12/2020 10:51:51,02/02/2019 15:05:43,02/02/2019 15:20:58,0.011,0.254,15.250,915.000
19-0004554,Building fire,2/2/2019,15:26:57,8,2/2/2019,16:45:48,1,05/12/2020 10:51:51,02/02/2019 15:26:57,02/02/2019 16:45:48,0.055,1.314,78.850,4731.000
19-0004589,Building fire,2/2/2019,18:52:00,14,2/2/2019,19:45:35,1,05/12/2020 10:51:51,2/2/2019 18:52,02/02/2019 19:45:35,0.037,0.893,53.583,3215.000
19-0004612,"Cooking fire, confined to container",2/2/2019,21:37:24,5,2/2/2019,22:53:57,1,05/12/2020 10:51:51,02/02/2019 21:37:24,02/02/2019 22:53:57,0.053,1.276,76.550,4593.000
19-0004633,"Cooking fire, confined to container",2/3/2019,0:05:21,6,2/3/2019,0:38:46,1,05/12/2020 10:51:51,02/03/2019 0:05:21,02/03/2019 0:38:46,0.023,0.557,33.417,2005.000
19-0004727,Passenger vehicle fire,2/3/2019,16:05:14,7,2/3/2019,16:11:43,1,05/12/2020 10:51:51,02/03/2019 16:05:14,02/03/2019 16:11:43,0.005,0.108,6.483,389.000
19-0004828,Passenger vehicle fire,2/4/2019,6:49:25,27,2/4/2019,9:18:37,1,05/12/2020 10:51:51,02/04/2019 6:49:25,02/04/2019 9:18:37,0.104,2.487,149.200,8952.000
19-0004960,Building fire,2/4/2019,17:15:10,14,2/4/2019,17:41:58,1,05/12/2020 10:51:51,02/04/2019 17:15:10,02/04/2019 17:41:58,0.019,0.447,26.800,1608.000
19-0004982,Building fire,2/4/2019,19:32:21,14,2/4/2019,23:01:07,1,05/12/2020 10:51:51,02/04/2019 19:32:21,02/04/2019 23:01:07,0.145,3.479,208.767,12526.000
19-0004995,Building fire,2/4/2019,21:16:54,16,2/5/2019,1:28:03,2,05/12/2020 10:51:51,02/04/2019 21:16:54,02/05/2019 1:28:03,0.174,4.186,251.150,15069.000
